@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetsPerDay numeric
@attribute favoritesPerDay numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute replyRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
1,0.04,47.938776,0.367347,0.06125,0.04849,0.726347,0.159033,0.75249,0.960152,0.464802,0,0,1.284091,0.102041,0.892857,1,0,0,0,0,0,0
3,0.01,0.827842,0.060132,0.0625,0.128573,0.762183,0.604745,0.962489,0.965231,0.302578,0.97449,1.219388,0.061224,0.02,0,0.025,0.21,0.335,0.31,0,0.12,0
2,0.06,8.439961,4.719488,0.0625,0.002929,0.119487,0.043532,0.306648,0.964157,0.199612,0.677419,0.051613,0.025806,0.225,0,0.02,0.98,0,0,0,0,0
1,0.18,7.856712,0.010378,0.0625,0.457187,0.371353,0.297506,0.895605,0.952892,0.511103,0.447514,0.98895,1.104972,0.095,0.41,0.555,0.43,0.015,0,0,0,0
1,0,3.95966,0.998726,0.0625,0.804605,0.138222,0.185695,0.801849,0.946128,0.45672,0.489011,0.186813,2.225275,0.09,0.69,1,0,0,0,0,0,0
5,1,280.811042,0.001707,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.01,15.097345,29.336283,0.062187,0.523756,0.878043,0.250664,0.814246,0.954959,0.551971,0.309942,0.011696,0.315789,0.140704,0.281407,0.98995,0,0,0,0.01005,0,0
1,0.06,3.0437,2.895849,0.0625,0.457187,0.959791,0.417553,0.954622,0.964166,0.94236,0.79021,0.706294,1.65035,0.285,0.165,0.4,0.595,0.005,0,0,0,0
1,0.05,21.862412,19.923332,0.0625,0.313374,0.992093,0.229791,0.894054,0.975612,0.807316,0.582192,0.171233,0.760274,0.27,0.3,1,0,0,0,0,0,0
3,0.04,6.875172,0.029917,0.0625,0.457187,0.052605,0.448544,0.961907,0.956624,0.607499,1,0.96,0.185,0,0,0,0,1,0,0,0,0
3,0,2.150207,2.204979,0.0625,0.164949,0.115149,0.479587,0.944517,0.966416,0.338957,0.993506,1.519481,0.025974,0.23,0,0.235,0.005,0.76,0,0,0,0
5,1,280.73136,0.001707,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
2,0.11,0.376893,0.042406,0.0625,0.950671,0.067098,0.65052,0.967155,0.967887,0.388889,0.75,1.054688,0.5,0.36,0.015,0.385,0.615,0,0,0,0,0
1,0,11.741595,1.361671,0.0625,0.016315,0.514748,0.144924,0.577363,0.942197,0.697152,0.357143,0.738095,0.833333,0.79,0.085,0.99,0,0.01,0,0,0,0
2,0.14,16.627586,4.726437,0.0625,0.000096,0.468498,0.118987,0.65216,0.940524,0.445925,0.739837,0.479675,1.626016,0.385,0.215,0,1,0,0,0,0,0
1,0.07,2.082474,1.042322,0.0625,0.634388,0.143265,0.578219,0.9711,0.964824,0.469968,0.159091,0.267045,0.534091,0.12,0.32,0.89,0.11,0,0,0,0,0
1,0.02,0.768356,0.026887,0.0625,0.037647,0.278121,0.290992,0.809496,0.958433,0.116702,0.939086,0.055838,0.918782,0.015,0.075,0.035,0.93,0.035,0,0,0,0
2,0,42.412371,0.001718,0.0625,0.069829,0.189165,0.0344,0.348608,0.973076,0.36,0,0,0,0,0,0,0,0,0,1,0,0
3,0.96,0.596425,0,0.0625,0.010289,0.381581,0.633457,0.923861,0.96913,0.911765,1.03,1.245,0,0,0,0,0.005,0.995,0,0,0,1
3,1,218.138478,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
5,0.86,277.614637,0.001715,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0,8.610169,16.501461,0.062187,0.083273,0.80344,0.060648,0.700332,0.965719,0.988527,0.254777,0,0.318471,0.211055,0.271357,0.984925,0.005025,0.01005,0,0,0,0
1,0,73.710069,12.982077,0.0625,0.006405,0.295399,0.026673,0.551852,0.935567,0.847833,0.138298,0,0.510638,0.53,0.195,0.995,0,0.005,0,0,0,0
3,1,217.337349,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0.01,43.564815,199.078704,0.0625,0.106869,0.081749,0.078593,0.766148,0.961561,0.425332,0.435,0,4.555,0,1,1,0,0,0,0,0,0
1,0.04,1.233942,0.296995,0.0625,0.002651,0.886705,0.292726,0.817618,0.968741,0.447749,0.025,0.03,0.765,0,0.56,0.955,0.045,0,0,0,0,0
5,0.96,138.466863,0.002209,0.060032,0.305297,0.475304,0.384098,0.839674,0.943585,0.503899,0.421451,0.610212,0.705515,0.28134,0.255893,0.62107,0.199681,0.132426,0.027431,0.011699,0.007693,1
1,0,8.563338,16.750621,0.0625,0.017072,0.115149,0.07256,0.676435,0.960636,0.399146,0.234694,0,0.836735,0.51,0.33,1,0,0,0,0,0,0
1,0.05,55.25825,11.3967,0.0625,0.128573,0.381581,0.371823,0.93679,0.96087,0.692999,0.053763,0.021505,0.435484,0.07,0.32,1,0,0,0,0,0,0
3,0.07,13.003202,0.037784,0.0625,0.3043,0.658348,0.414755,0.883289,0.959245,0.916293,0.853403,0.104712,0.198953,0.045,0.095,0.15,0.1,0.745,0,0,0.005,0
2,0.02,9.901639,5.245902,0.0625,0.081749,0.762183,0.297192,0.914393,0.957297,0.191734,0.356784,0.045226,1.090452,0.005,0.655,0.07,0.915,0.015,0,0,0,0
3,1,218.07006,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0.02,0.20926,0.025874,0.060032,0.305297,0.475304,0.384098,0.839674,0.943585,0.503899,0.421451,0.610212,0.705515,0.28134,0.255893,0.62107,0.199681,0.132426,0.027431,0.011699,0.007693,0
1,0.01,48.106719,2.403162,0.0625,0.223189,0.182866,0.083817,0.671627,0.954091,0.257042,0.211055,0,0.527638,0.005,0.49,1,0,0,0,0,0,0
3,1,213.083654,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,9.124214,8.627358,0.0625,0.001239,0.037647,0.401366,0.94107,0.968274,0.985672,0.105556,0,0.494444,0.1,0.355,0.915,0.085,0,0,0,0,0
1,0,1.111997,2.659833,0.0625,0.922527,0.728599,0.422227,0.855762,0.962281,0.444898,0.670968,2.303226,0.490323,0.225,0.075,0.455,0.13,0.395,0,0,0.02,0
5,1,280.372795,0.001707,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
3,1,218.334975,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,30.35244,1.411309,0.0625,0.94034,0.216042,0.19111,0.849158,0.968466,0.625378,0.120482,0,0.710843,0.585,0.255,1,0,0,0,0,0,0
3,0.05,0.509292,0.012509,0.0625,0.445993,0.088346,0.655758,0.969629,0.972193,0.32,0.958115,3.251309,0.125654,0.045,0.045,0.055,0.045,0.9,0,0,0,0
1,0,2.095357,1.820896,0.0625,0.739938,0.40249,0.249872,0.790588,0.968007,0.353791,0.21164,0.280423,0.984127,0.055,0.565,0.68,0.32,0,0,0,0,0
2,0.04,0.128365,0.172596,0.062187,0.146099,0.583715,0.462083,0.937001,0.955184,0.409742,0.404762,0.369048,0.880952,0.577889,0.20603,0.522613,0.221106,0,0.256281,0,0,0
1,0,12.463466,15.943523,0.062187,0.024768,0.227669,0.148215,0.706647,0.954819,0.504386,0.376471,0.117647,0.752941,0.572864,0.261307,0.547739,0.452261,0,0,0,0,0
3,1,213.643014,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0.5449,0.425458,0.0625,0.095395,0.468498,0.616571,0.929566,0.953175,0.514706,0.111801,2.192547,0.409938,0.195,0.305,0.425,0.575,0,0,0,0,0
3,1,214.853297,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
5,0.76,278.163335,0.001713,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
3,0.07,1.480658,0.011605,0.0625,0.526524,0.762183,0.309696,0.933263,0.955241,0.522727,1,4.025,0,0,0,0,0,1,0,0,0,0
1,0.02,17.264368,1.034483,0.0625,0.000126,0.634388,0.05722,0.539692,0.916666,0.341709,0.35,0.125,0.025,0.8,0.01,1,0,0,0,0,0,0
1,0,4.627329,5.197723,0.062187,0.500201,0.893985,0.336095,0.742043,0.967247,0.447619,0.333333,0,0.125,0.879397,0.020101,1,0,0,0,0,0,0
1,0.02,4.128889,3.741333,0.061562,0.043423,0.296923,0.280222,0.71526,0.951368,0.683085,0.053571,0.857143,0.428571,0.715736,0.096447,1,0,0,0,0,0,0
3,0.69,11.512884,0.003048,0.060032,0.305297,0.475304,0.384098,0.839674,0.943585,0.503899,0.421451,0.610212,0.705515,0.28134,0.255893,0.62107,0.199681,0.132426,0.027431,0.011699,0.007693,1
1,0.03,22.44591,51.870185,0.061875,0.007204,0.877985,0.170691,0.768704,0.959903,0.654924,0.131579,0.013158,0.631579,0.616162,0.232323,0.994949,0.005051,0,0,0,0,0
1,0,1.118911,0.552531,0.062187,0.511938,0.019811,0.446063,0.948624,0.956473,0.203095,0.090323,0.580645,0.387097,0.221106,0.256281,0.959799,0.040201,0,0,0,0,0
1,0,3.509899,0.890176,0.0625,0.40249,0.514748,0.346361,0.863689,0.961026,0.69448,0.175532,0.425532,0.712766,0.06,0.555,0.74,0.11,0.01,0.14,0,0,0
5,0.99,280.367103,0.001707,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.01,5.436628,8.183748,0.062187,0.140949,0.726898,0.422686,0.89849,0.938236,0.54326,0.006494,0.324675,0.512987,0.226131,0.281407,0.949749,0.050251,0,0,0,0,0
1,0.1,16.763615,24.049826,0.061875,0.000034,0.748773,0.157783,0.469412,0.946333,0.931833,0.555556,0,0,0.954545,0,0.89899,0.080808,0,0,0.020202,0,0
1,0,3.820598,1.104097,0.062187,0.016526,0.703702,0.101255,0.647295,0.95256,0.624309,0.551181,0.03937,0.19685,0.361809,0.231156,0.98995,0,0.01005,0,0,0,0
1,0.01,264.67509,200.736462,0.0625,0,0.852797,0,0.381569,0.953161,0.520255,0.23913,0,1.652174,0.77,0.19,1,0,0,0,0,0,0
2,0.06,8.504996,3.582244,0.0625,0,0.245676,0.056283,0.138157,0.788508,0.493109,0.878307,3.444444,0.074074,0.055,0.02,0,1,0,0,0,0,0
1,0,0.149504,0.028604,0.0625,0.223189,0.261546,0.644305,0.958414,0.947928,0.250859,0.222798,0.606218,1.108808,0.035,0.36,0.69,0.21,0.04,0.04,0,0.02,0
1,0,33.612653,0.429893,0.062187,0.09001,0.11309,0.300587,0.878788,0.956223,0.830645,0.086294,0.005076,0.670051,0.01005,0.562814,0.517588,0.482412,0,0,0,0,0
3,0.05,3.516174,1.156174,0.062187,0.559596,0.005589,0.545627,0.890457,0.961466,0.549924,0.591837,0.680272,0.244898,0.261307,0.110553,0.638191,0,0.361809,0,0,0,0
