@relation metaDMTraining

@attribute textProbability numeric
@attribute deviceType {1,2,3,4,5,6}
@attribute isReply {0,1}
@attribute isRetweet {0,1}
@attribute hashtagDensity numeric
@attribute urlDensity numeric
@attribute mentionDensity numeric
@attribute accountRep numeric
@attribute statusesPerDay numeric
@attribute favoritesPerDay numeric
@attribute class_attr {0,1}

@data
0.01,1,0,0,0,0,0,0.546748,5.436628,8.183748,0
0.1,1,0,0,0,0,0.066667,0.926187,16.763615,24.049826,0
0,1,1,0,0,0,0.038462,0.657143,3.820598,1.104097,0
0.01,1,1,0,0,0,0.142857,0.567759,264.67509,200.736462,0
0.06,2,0,0,0.333333,0.066667,0,0.457854,8.504996,3.582244,0
0,1,1,0,0,0,0.176471,0.265734,0.149504,0.028604,0
0,1,1,0,0,0,0.25,0.833333,33.612653,0.429893,0
0.05,3,0,0,0.133333,0.066667,0.066667,0.550102,3.516174,1.156174,0
0.03,2,1,0,0,0,0.047619,0.712284,2.677387,1.043331,0
0,1,0,0,0.5,0,0,0.418155,5.728709,14.354697,0
0.01,1,1,0,0,0,0.055556,0.379747,1.315332,0.149657,0
1,3,0,0,0,0,0,1,216.0565,0,1
0,2,1,0,0,0,0.076923,0.687892,2.530081,3.596341,0
0,1,0,0,0.307692,0,0,0.484643,1.203426,0.652748,0
0.01,1,1,0,0,0,0.032258,0.785128,46.711718,1.025162,0
0.01,3,0,0,0.142857,0.071429,0,0.443243,5.629385,0.024403,0
0.07,1,0,0,0,0.111111,0,0.387283,1.539137,18.433431,0
0,1,1,0,0,0,0.333333,0.548872,0.020354,0.163211,0
0,1,1,0,0,0,0.571429,0.502156,55.881981,81.73235,0
0.01,1,0,0,0,0,0.095238,0.377358,0.02659,0.043353,0
0.01,1,1,0,0,0,0,0.785675,46.738129,1.025899,0
0,1,0,0,0.2,0,0,0.071719,1.06424,0.231263,0
0.89,5,1,0,0,0.125,0.125,0.999945,277.793025,0.001715,1
0.01,1,1,0,0,0,0.083333,0.106796,0.187748,0.224144,0
0.55,3,0,0,0.090909,0.090909,0.090909,0.15371,0.89295,0.143168,1
0,1,0,0,0,0,0,0.346692,2.474403,9.986348,0
0,1,1,0,0,0,0.142857,0.593785,3.178714,2.525608,0
0.04,1,1,0,0,0,0.230769,0.724752,4.810853,0.057716,0
1,5,1,0,0,0.125,0.125,0.999945,281.062571,0.001706,1
0.03,1,1,0,0,0.083333,0.083333,0.326879,24.51481,44.345557,0
0,1,0,0,0,0,0,0.278607,2.309112,6.687428,0
0,1,0,0,0,0,0,0.941105,8.582456,16.481287,0
1,3,0,0,0,0,0,1,216.474232,0,1
0,1,1,0,0,0,0.333333,0.121483,13.133018,2.665091,0
1,3,0,0,0,0,0,1,212.695485,0,1
0.01,1,1,0,0,0,0.1,0.699019,39.894158,11.746206,0
0.01,1,1,0,0.055556,0,0.055556,0.524056,7.85762,0.010361,0
1,3,0,0,0,0,0,1,213.793729,0,1
1,3,0,0,0,0,0,1,214.663736,0,1
0,2,1,0,0,0,0.111111,0.23128,8.709522,3.259763,0
0.05,1,0,0,0,0.045455,0,0.665966,0.594437,0.065052,0
0.01,1,1,0,0,0,0.3,0.290494,0.564584,0.176433,0
0.04,1,0,0,0,0.045455,0,0.995245,62.103113,54.951362,0
0.02,2,1,0,0,0,0.037037,0.405194,28.177134,109.258454,0
0.13,3,0,0,0.666667,0.111111,0,0.820755,0.550357,0.065,0
0.96,5,1,0,0,0.125,0.125,0.999945,277.296339,0.001716,1
0.03,1,0,0,0,0,0,0.56898,51.363095,23.044643,0
0.01,2,1,0,0,0,0.058824,0.574449,107.077586,156.25431,0
1,5,1,0,0,0.142857,0.142857,0.999945,278.952626,0.001712,1
0.01,1,1,0,0,0,0.235294,0.463592,3.949383,0.991068,0
0.03,1,1,0,0,0,0.105263,0.37377,4.652759,3.795424,0
0.98,5,1,0,0,0.111111,0.111111,0.999945,279.042784,0.001711,1
0.01,1,0,0,0.04,0,0,0.666667,8.449153,0.279661,0
0.01,1,0,0,0.2,0.066667,0,0.501568,3.023256,0.056025,0
0.01,2,1,0,0,0,0.25,0.402443,36.223227,33.506259,0
1,3,0,0,0,0,0,1,212.698238,0,1
0.99,5,1,0,0,0.125,0.125,0.999945,279.939031,0.001709,1
0.01,1,0,0,0,0,0,0.555556,2.266667,2,0
0.01,2,1,0,0,0.055556,0.055556,0.888196,31.783198,48.843496,0
0.01,1,0,0,0.071429,0,0,0.657609,89.844714,22.846356,0
0.93,5,1,0,0,0.083333,0,0.975967,138.642647,0.002206,1
0,2,1,0,0,0,0.5,0.662598,9.054236,6.24034,0
1,3,0,0,0,0,0,1,215.791552,0,1
0.06,2,0,0,0.05,0.05,0,0.732914,11.335895,2.231614,0
0,2,1,0,0,0,0.25,0.21294,6.391779,1.18625,0
0,1,1,0,0,0,0.333333,0.842018,12.908046,2.296552,0
0,2,1,0,0,0,0.125,0.525213,1.29254,1.007718,0
1,5,1,0,0,0.1,0.1,0.999945,280.47012,0.001707,1
0.02,1,0,0,0,0,0,0.840429,44.486284,13.002993,0
1,3,0,0,0,0,0,1,217.468237,0,1
0,1,0,0,0,0,0,0.622711,3.107126,0.204138,0
0,2,1,0,0,0,0.071429,0.638337,1.447849,2.828227,0
0,1,1,0,0,0,0.033333,0.843382,10.547399,5.414451,0
0.04,2,1,0,0,0,0.05,0.639706,12.407754,5.786096,0
1,3,0,0,0,0,0,1,216.480263,0,1
1,3,0,0,0,0,0,1,213.803189,0,1
1,3,0,0,0,0,0,1,217.801205,0,1
1,3,0,0,0,0,0,1,213.752611,0,1
0.91,5,1,0,0,0.083333,0.083333,0.999945,280.606716,0.001707,1
0,1,1,0,0,0,0.058824,0.261589,6.242105,12.936842,0
0.04,1,0,0,0,0,0,0.28125,1.736926,5.72504,0
1,3,0,0,0,0,0,1,213.564906,0,1
